"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2009","3.121","3.120","3.130","3.092","0.43K","-0.29%"
"Dec 14, 2009","3.130","3.110","3.136","3.100","0.35K","0.64%"
"Dec 11, 2009","3.110","3.092","3.125","3.092","0.59K","1.01%"
"Dec 10, 2009","3.079","3.091","3.119","3.060","0.61K","-0.61%"
"Dec 09, 2009","3.098","3.127","3.160","3.082","0.64K","-1.31%"
"Dec 08, 2009","3.139","3.185","3.212","3.119","0.62K","-1.44%"
"Dec 07, 2009","3.185","3.195","3.198","3.140","0.68K","-0.87%"
"Dec 04, 2009","3.213","3.210","3.239","3.168","0.60K","-0.22%"
"Dec 03, 2009","3.220","3.233","3.248","3.210","0.64K","-0.37%"
"Dec 02, 2009","3.232","3.188","3.244","3.182","1.68K","0.87%"
"Dec 01, 2009","3.204","3.155","3.211","3.131","2.13K","1.78%"
"Nov 30, 2009","3.148","3.095","3.155","3.076","5.04K","1.75%"
"Nov 27, 2009","3.094","3.175","3.196","2.993","15.00K","-2.27%"
"Nov 25, 2009","3.166","3.136","3.136","3.130","0.37K","1.74%"
"Nov 24, 2009","3.112","3.120","3.120","3.109","0.52K","-0.70%"
"Nov 23, 2009","3.134","3.155","3.171","3.127","0.21K","0.93%"
"Nov 20, 2009","3.105","3.082","3.110","3.076","0.32K","0.88%"
"Nov 19, 2009","3.078","3.090","3.100","3.063","0.08K","-0.93%"
"Nov 18, 2009","3.107","3.091","3.136","3.091","0.16K","0.10%"
"Nov 17, 2009","3.104","3.075","3.110","3.075","0.14K","0.13%"
"Nov 16, 2009","3.100","3.017","3.096","3.017","0.26K","4.41%"
"Nov 13, 2009","2.969","2.952","2.965","2.933","0.10K","0.88%"
"Nov 12, 2009","2.943","2.937","2.952","2.937","0.21K","-0.64%"
"Nov 11, 2009","2.962","3.007","3.007","2.960","0.10K","0.17%"
"Nov 10, 2009","2.957","2.950","2.958","2.944","0.35K","-0.17%"
"Nov 09, 2009","2.962","2.986","2.990","2.962","0.10K","0.54%"
"Nov 06, 2009","2.946","2.935","2.950","2.920","0.07K","-0.14%"
"Nov 05, 2009","2.950","2.960","2.964","2.938","0.16K","-1.17%"
"Nov 04, 2009","2.985","2.982","2.999","2.970","0.19K","1.26%"
"Nov 03, 2009","2.948","2.922","2.952","2.890","0.19K","0.37%"
"Nov 02, 2009","2.937","2.960","2.973","2.917","1.05K","-0.34%"
"Oct 30, 2009","2.947","2.990","2.994","2.940","0.49K","-2.45%"
"Oct 29, 2009","3.021","2.909","3.024","2.909","0.92K","3.49%"
"Oct 28, 2009","2.919","2.995","2.995","2.946","0.22K","-2.34%"
"Oct 27, 2009","2.989","2.960","3.014","2.955","0.13K","-0.33%"
"Oct 26, 2009","2.999","3.047","3.058","2.974","0.20K","-0.83%"
"Oct 23, 2009","3.024","3.031","3.050","2.990","0.31K","1.20%"
"Oct 22, 2009","2.988","2.975","3.010","2.975","0.15K","-1.26%"
"Oct 21, 2009","3.026","2.904","3.013","2.904","0.16K","3.56%"
"Oct 20, 2009","2.922","2.922","2.971","2.914","0.18K","-1.18%"
"Oct 19, 2009","2.957","2.810","2.957","2.798","0.32K","4.23%"
"Oct 16, 2009","2.837","2.833","2.855","2.805","0.15K","-0.49%"
"Oct 15, 2009","2.851","2.788","2.860","2.788","0.15K","0.49%"
"Oct 14, 2009","2.837","2.813","2.841","2.813","0.21K","1.83%"
"Oct 13, 2009","2.786","2.817","2.818","2.755","0.18K","-2.18%"
"Oct 12, 2009","2.848","2.830","2.861","2.830","0.16K","0.67%"
"Oct 09, 2009","2.829","2.848","2.850","2.825","0.18K","-2.01%"
"Oct 08, 2009","2.887","2.832","2.886","2.832","0.13K","4.19%"
"Oct 07, 2009","2.771","2.761","2.784","2.743","0.17K","-0.18%"
"Oct 06, 2009","2.776","2.718","2.792","2.718","0.17K","2.13%"
"Oct 05, 2009","2.718","2.680","2.723","2.650","0.17K","1.76%"
"Oct 02, 2009","2.671","2.700","2.703","2.649","0.24K","-1.98%"
"Oct 01, 2009","2.725","2.797","2.800","2.699","0.32K","-2.99%"
"Sep 30, 2009","2.809","2.735","2.806","2.735","0.41K","3.46%"
