"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 06, 2019","2,256.00","2,246.00","2,277.50","2,234.50","-","1.67%"
"Feb 05, 2019","2,219.00","2,220.00","2,237.00","2,193.00","22.04K","-0.40%"
"Feb 04, 2019","2,228.00","2,172.00","2,247.00","2,169.00","27.79K","2.77%"
"Feb 01, 2019","2,168.00","2,173.00","2,202.00","2,165.00","18.34K","0.00%"
"Jan 31, 2019","2,168.00","2,183.00","2,192.00","2,161.00","16.97K","-0.37%"
"Jan 30, 2019","2,176.00","2,217.00","2,231.00","2,163.00","25.84K","-1.76%"
"Jan 29, 2019","2,215.00","2,252.00","2,284.00","2,206.00","21.27K","-1.56%"
"Jan 28, 2019","2,250.00","2,227.00","2,304.00","2,224.00","23.14K","1.12%"
"Jan 25, 2019","2,225.00","2,256.00","2,265.00","2,218.00","18.69K","-1.37%"
"Jan 24, 2019","2,256.00","2,244.00","2,277.00","2,236.00","14.18K","0.49%"
"Jan 23, 2019","2,245.00","2,249.00","2,265.00","2,227.00","18.91K","-0.04%"
"Jan 22, 2019","2,246.00","2,294.00","2,303.00","2,226.00","28.21K","-2.64%"
"Jan 18, 2019","2,307.00","2,348.00","2,355.00","2,297.00","11.21K","-1.20%"
"Jan 17, 2019","2,335.00","2,322.00","2,368.00","2,308.00","16.49K","0.56%"
"Jan 16, 2019","2,322.00","2,293.00","2,343.00","2,282.00","20.89K","2.11%"
"Jan 15, 2019","2,274.00","2,344.00","2,362.00","2,259.00","29.30K","-2.86%"
"Jan 14, 2019","2,341.00","2,358.00","2,385.00","2,333.00","13.89K","-0.64%"
"Jan 11, 2019","2,356.00","2,372.00","2,396.00","2,350.00","15.56K","-0.55%"
"Jan 10, 2019","2,369.00","2,331.00","2,390.00","2,327.00","21.72K","0.77%"
"Jan 09, 2019","2,351.00","2,379.00","2,387.00","2,346.00","15.24K","-1.30%"
"Jan 08, 2019","2,382.00","2,389.00","2,399.00","2,355.00","18.77K","-1.16%"
"Jan 07, 2019","2,410.00","2,362.00","2,413.00","2,356.00","16.21K","2.08%"
"Jan 04, 2019","2,361.00","2,399.00","2,402.00","2,314.00","21.35K","-1.63%"
"Jan 03, 2019","2,400.00","2,396.00","2,423.00","2,379.00","21.01K","0.25%"
"Jan 02, 2019","2,394.00","2,419.00","2,424.00","2,367.00","20.48K","-0.91%"
"Dec 31, 2018","2,416.00","2,410.00","2,439.00","2,381.00","14.10K","0.33%"
"Dec 28, 2018","2,408.00","2,369.00","2,412.00","2,342.00","15.04K","1.47%"
"Dec 27, 2018","2,373.00","2,385.00","2,401.00","2,347.00","23.23K","-2.31%"
"Dec 26, 2018","2,429.00","2,316.00","2,436.00","2,309.00","18.43K","4.92%"
"Dec 24, 2018","2,315.00","2,276.00","2,345.00","2,256.00","10.18K","1.94%"
"Dec 21, 2018","2,271.00","2,280.00","2,290.00","2,221.00","14.16K","0.00%"
"Dec 20, 2018","2,271.00","2,317.00","2,317.00","2,251.00","15.31K","-1.99%"
"Dec 19, 2018","2,317.00","2,290.00","2,319.00","2,242.00","16.15K","2.03%"
"Dec 18, 2018","2,271.00","2,230.00","2,312.00","2,227.00","14.05K","1.84%"
"Dec 17, 2018","2,230.00","2,227.00","2,263.00","2,204.00","13.23K","-0.31%"
"Dec 14, 2018","2,237.00","2,238.00","2,279.00","2,216.00","16.46K","-0.53%"
"Dec 13, 2018","2,249.00","2,168.00","2,255.00","2,159.00","-","3.88%"
"Dec 12, 2018","2,165.00","2,122.00","2,200.00","2,116.00","-","2.75%"
"Dec 11, 2018","2,107.00","2,197.00","2,204.00","2,099.00","-","-4.14%"
"Dec 10, 2018","2,198.00","2,226.00","2,231.00","2,186.00","-","1.06%"
"Dec 07, 2018","2,175.00","2,135.00","2,135.00","2,135.00","0.00K","4.67%"
"Dec 06, 2018","2,078.00","2,120.00","2,120.00","2,120.00","0.00K","-1.61%"
"Dec 05, 2018","2,112.00","2,174.50","2,184.00","2,096.00","-","-3.01%"
"Dec 04, 2018","2,177.50","2,197.50","2,215.50","2,169.00","-","-1.00%"
"Dec 03, 2018","2,199.50","2,211.00","2,216.00","2,155.00","-","0.27%"
"Nov 30, 2018","2,193.50","2,169.50","2,211.50","2,145.00","-","1.08%"
"Nov 29, 2018","2,170.00","2,124.00","2,186.00","2,121.00","-","2.12%"
"Nov 28, 2018","2,125.00","2,140.00","2,157.00","2,106.00","-","-0.65%"
"Nov 27, 2018","2,139.00","2,119.00","2,166.00","2,109.00","-","3.99%"
"Nov 26, 2018","2,057.00","2,083.00","2,083.00","2,083.00","0.01K","-0.19%"
"Nov 23, 2018","2,061.00","2,089.00","2,089.00","2,083.00","0.00K","-3.42%"
"Nov 21, 2018","2,134.00","2,185.00","2,187.00","2,132.00","-","-0.47%"
"Nov 20, 2018","2,144.00","2,128.00","2,162.00","2,128.00","0.16K","-0.51%"
"Nov 19, 2018","2,155.00","2,170.00","2,190.00","2,170.00","0.03K","-1.73%"
"Nov 16, 2018","2,193.00","2,172.00","2,223.00","2,172.00","0.10K","1.25%"
"Nov 15, 2018","2,166.00","2,151.00","2,221.00","2,145.00","7.02K","0.37%"
"Nov 14, 2018","2,158.00","2,209.00","2,212.00","2,136.00","9.88K","-2.40%"
"Nov 13, 2018","2,211.00","2,214.00","2,228.00","2,177.00","12.16K","0.09%"
"Nov 12, 2018","2,209.00","2,229.00","2,265.00","2,199.00","13.95K","-1.82%"
"Nov 09, 2018","2,250.00","2,273.00","2,288.00","2,233.00","16.41K","-0.66%"
"Nov 08, 2018","2,265.00","2,363.00","2,378.00","2,256.00","20.06K","-4.95%"
"Nov 07, 2018","2,383.00","2,390.00","2,396.00","2,349.00","21.70K","0.17%"
"Nov 06, 2018","2,379.00","2,313.00","2,383.00","2,310.00","31.17K","2.90%"
"Nov 05, 2018","2,312.00","2,265.00","2,323.00","2,248.00","20.91K","1.99%"
"Nov 02, 2018","2,267.00","2,263.00","2,274.00","2,228.00","26.18K","0.13%"
"Nov 01, 2018","2,264.00","2,235.00","2,292.00","2,225.00","29.33K","1.34%"
"Oct 31, 2018","2,234.00","2,220.00","2,244.00","2,190.00","21.94K","0.86%"
"Oct 30, 2018","2,215.00","2,199.00","2,228.00","2,169.00","16.85K","0.91%"
"Oct 29, 2018","2,195.00","2,251.00","2,272.00","2,180.00","24.73K","-2.49%"
"Oct 26, 2018","2,251.00","2,215.00","2,281.00","2,207.00","24.39K","1.90%"
"Oct 25, 2018","2,209.00","2,147.00","2,216.00","2,144.00","25.82K","3.37%"
